,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
522,kapaa,us,22.08,-159.32,67.82,83,6.93,1
524,luanda,ao,-8.83,13.24,82.4,78,9.17,75
525,beringovskiy,ru,63.05,179.32,16.67,93,5.95,12
526,kapaa,us,22.08,-159.32,67.82,83,6.93,1
527,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
528,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
529,luderitz,na,-26.65,15.16,78.8,54,9.17,88
530,bamberg,de,49.89,10.89,63.84,37,9.17,0
531,hilo,us,19.71,-155.08,63.39,83,3.36,40
532,thurso,gb,58.6,-3.52,37.4,93,13.87,75
534,langsa,id,4.47,97.97,69.86,97,2.04,36
535,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
537,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
538,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
539,varadero,cu,23.15,-81.25,86,48,6.93,75
540,beyneu,kz,45.32,55.19,46.19,59,14.9,0
541,luderitz,na,-26.65,15.16,78.8,54,9.17,88
542,alice springs,au,-23.7,133.88,60.8,51,3.36,0
543,nago,jp,26.59,127.98,69.21,77,6.93,20
544,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
545,hamilton,bm,32.3,-64.78,71.6,78,8.05,75
546,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
547,carnarvon,au,-24.87,113.63,81.38,88,17.81,8
548,haines junction,ca,60.75,-137.51,8.39,78,2.93,64
549,atar,mr,20.52,-13.05,95.15,7,4.61,12
552,rudnogorsk,ru,57.27,103.75,18.65,58,4.27,56
553,albany,au,-35.02,117.88,64.01,95,8.41,92
554,cayenne,gf,4.94,-52.33,86,66,9.17,75
555,aden,ye,12.79,45.03,80.84,97,16.02,0
556,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
557,cape town,za,-33.93,18.42,66.2,77,13.87,0
558,lagos,ng,6.46,3.39,85.07,73,10.87,0
559,beirut,lb,33.9,35.48,66.2,77,10.29,0
560,bijie,cn,27.3,105.3,57.44,95,2.71,76
561,hermanus,za,-34.42,19.24,67.34,69,5.28,8
566,sinnamary,gf,5.38,-52.96,82.01,90,8.97,56
567,lansing,us,42.73,-84.56,38.19,100,11.41,90
569,ancud,cl,-41.87,-73.83,59.42,97,14.45,92
570,castro,cl,-42.48,-73.76,58.88,95,12.21,92
572,namibe,ao,-15.19,12.15,79.22,100,9.98,92
573,berlevag,no,70.86,29.09,30.16,100,36.91,75
574,eagle pass,us,28.71,-100.5,78.8,65,4.7,40
575,yashkul,ru,46.17,45.34,46.01,77,12.21,48
577,puerto ayora,ec,-0.74,-90.35,84.2,62,4.7,20
578,bredasdorp,za,-34.53,20.04,69.8,77,9.17,44
579,georgetown,sh,-7.93,-14.42,79.94,100,11.77,8
580,trakai,lt,54.65,24.94,41,80,5.82,90
583,whitehorse,ca,60.72,-135.06,8.6,50,8.05,40
584,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
585,turochak,ru,52.26,87.12,22.16,82,6.17,80
586,tasiilaq,gl,65.61,-37.64,23,73,17.22,90
587,kaitangata,nz,-46.28,169.85,60.32,60,31.9,32
588,quatre cocos,mu,-20.21,57.76,82.4,78,10.29,90
589,bathsheba,bb,13.22,-59.52,84.2,70,18.34,40
590,pisco,pe,-13.71,-76.2,77,61,9.17,0
591,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
592,shakawe,bw,-18.36,21.84,79.94,31,7.4,56
593,puerto ayora,ec,-0.74,-90.35,84.2,62,4.7,20
594,chifeng,cn,42.27,118.96,23.87,62,6.06,0
595,constitucion,cl,-35.33,-72.42,59.6,96,4.61,20
596,loreto,mx,22.27,-101.99,75.89,25,8.3,0
597,vaini,to,-21.2,-175.2,77,100,13.87,75
598,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
599,cape town,za,-33.93,18.42,66.2,77,13.87,0
